evidence_id	strength	line	dataset	model_id	outcome	term	estimate	ci_low	ci_high	p_value	n_obs	n_ids	note
E1	core	shock(t-1) → ADL worsening(t)	balanced_ft	dose_shock_only	delta_adl_per_year	oop_shock_p95_lag	0.0656655103520297	0.0212294694544344	0.1101015512496249	0.0037753897739907	12286	4212	Primary association; longitudinal change model with clustered SEs.
E2	core	shock(t-1) → utilization intensity(t)	balanced_ft	doc_count_pois_gee	doctor_visit_count_wave	oop_shock_p95_lag	-0.3397409649028756	-0.5880596021374539	-0.0914223276682972	0.0073280891923405	11706	4201	Visit-count intensity proxy; interpret as utilization association, not care-forgoing.
E3	core	shock×low-wealth → utilization intensity(t)	balanced_ft	doc_count_pois_gee	doctor_visit_count_wave	oop_shock_p95_lag:low_wealth	-0.5029501940367388	-0.9796634021802044	-0.0262369858932732	0.0386555393975266	8213	2939	Constraint-consistent effect modification; low-wealth defined per pipeline rules.
E4	core	shock×insurance → attenuated ADL worsening	balanced_ft	insurance_interaction	delta_adl_per_year	oop_shock_p95_lag:insurance_public_w1	-0.2209967042990171	-0.3915314990140299	-0.0504619095840044	0.0110876256136108	12253	4201	Public insurance buffering interaction (main strengthening result).
E5	limited	cost-related outpatient forgoing(t) → worse ADL(t+1)	balanced_ft	adl_lead_with_out_forg_cost_cluster_ols	adl5_lead	outpatient_forgone_cost_raw	0.5007014578383822	0.1491460110340659	0.8522569046426984	0.0052469063933539	462	431	Skip-pattern/partial-coverage construct; interpret cautiously (association only).
E6	supportive	CESD(t) → ADL worsening(t→t+1)	balanced_ft	cesd_leg2_delta_per_year_lead_cluster_ols	delta_adl_per_year_lead	cesd10	0.0064153988363477	0.0045880335516775	0.0082427641210179	5.9468080505397655e-12	7819	4168	Supportive association; shock→CESD was not statistically supported (see CESD chain).
