model_id	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	log_likelihood	aic	bic
mixedlm_re_int_slope	Intercept	-0.894357083122467	0.14856422417596418	1.7441378095020037e-09	-1.1855376118984915	-0.6031765543464425	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	C(ft_profile)[T.mixed]	-0.06887952821534607	0.042818709619792686	0.10769692616039003	-0.15280265693461847	0.01504360050392635	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	C(ft_profile)[T.shock_spike]	0.033418880259252326	0.05134759752026746	0.5151521664734733	-0.06722056157313008	0.13405832209163474	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	C(ft_profile)[T.stable_low]	-0.13132301296715168	0.035757427543494404	0.000240087669119605	-0.20140628313220127	-0.06123974280210211	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	t_years	0.056184539266216006	0.007148286691739703	3.8456018632911865e-15	0.042174154799239215	0.07019492373319279	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	t_years:C(ft_profile)[T.mixed]	-0.02428496425305077	0.009627164639753822	0.0116508759104148	-0.043153860220205786	-0.0054160682858957546	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	t_years:C(ft_profile)[T.shock_spike]	-0.01961768432431773	0.011555219266565926	0.08955804788624772	-0.04226549792025028	0.003030129271614824	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	t_years:C(ft_profile)[T.stable_low]	-0.036128865340509	0.007944368482838186	5.422691474577183e-06	-0.051699541446786956	-0.020558189234231042	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	baseline_age	0.01759480651642727	0.0019554359483684317	2.3008760297949547e-19	0.013762222483550218	0.021427390549304322	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	sex	0.07757839302983302	0.023544897208591344	0.0009845207878024533	0.031431242481296334	0.1237255435783697	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	education_c	-0.05964627854238947	0.006658639066565004	3.3143645247309397e-19	-0.07269697129890829	-0.046595585785870655	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	residence_rural_w1	0.11014853641047817	0.023834377272790214	3.81132432100147e-06	0.06343401536186935	0.156863057459087	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	core_disease_count	0.11738446851102886	0.007815450454046193	5.468612404779811e-51	0.10206646709814111	0.13270246992391663	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	Group Var	0.502222080733085	0.03098681080795479	4.455768892548923e-59	0.4414890475537372	0.5629551139124329	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	Group x t_years Cov	-0.0014497840398463152	0.004850512846082923	0.7650217349039321	-0.010956614524717719	0.00805704644502509	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
mixedlm_re_int_slope	t_years Var	0.021303215743649496	0.0015810814031980186	2.230041688694747e-41	0.01820435313675533	0.024402078350543664	16498	4212	-22079.293903205835	44192.58780641167	44323.67471189882
