model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	r2	analysis
insurance_interaction	delta_adl_per_year	Intercept	-0.29599048048875054	0.05588115186072641	1.1785894005350487e-07	-0.4055155255503877	-0.18646543542711336	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	C(interval)[T.2013-2015]	0.0633358520990272	0.010384965047102622	1.068659235739517e-09	0.042981694625998754	0.08369000957205565	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	C(interval)[T.2015-2018]	0.05495124677420109	0.008560120228383301	1.3676935365883498e-10	0.03817371942323704	0.07172877412516514	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	oop_shock_p95_lag	0.26876894902443504	0.08415137357520569	0.0014037699723666302	0.10383528756745627	0.4337026104814138	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	insurance_public_w1	-0.022213747658948214	0.01733483928781795	0.2000352899405885	-0.056189408340861356	0.011761913022964927	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	oop_shock_p95_lag:insurance_public_w1	-0.22099670429901716	0.08700914713748287	0.011087625613610801	-0.39153149901402995	-0.0504619095840044	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	adl5_lag	-0.2386894721590076	0.008306527983117639	1.3879924141364024e-181	-0.2549699678424923	-0.22240897647552288	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	core_disease_count_lag	0.04333405963264526	0.003739122124271993	4.665662646235232e-31	0.03600551493527525	0.050662604330015265	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	baseline_age	0.0050781744016491	0.0007537811969074426	1.61763275942921e-11	0.0036007904034870176	0.006555558399811182	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	sex	0.02385657584952381	0.008536671040987055	0.005196406159924117	0.007125008061323133	0.04058814363772449	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	education_c	-0.014554195549011547	0.002231795996224894	6.970388175968585e-11	-0.01892843532245303	-0.010179955775570064	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction	delta_adl_per_year	residence_rural_w1	0.03618115426749455	0.008485797338755987	2.0104176304336347e-05	0.019549297103426976	0.05281301143156212	12253	4201	0.22349235925527522	insurance_buffer
insurance_interaction_logshock	delta_adl_per_year	Intercept	-0.31420455335107134	0.05717428238644575	3.89478126243105e-08	-0.4262640876704278	-0.2021450190317149	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	C(interval)[T.2013-2015]	0.06032134766304175	0.010453375817611564	7.903027108991228e-09	0.03983310754366114	0.08080958778242237	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	C(interval)[T.2015-2018]	0.05303070421673124	0.008666015774146043	9.39360192907704e-10	0.036045625409949	0.07001578302351348	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	log_oop_raw_lag	0.00044122749399679647	0.0014043866221985855	0.7533857892416658	-0.0023113197058822906	0.0031937746938758833	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	oop_shock_p95_lag	0.2628848638894089	0.08509183728972687	0.002005442183607526	0.09610792742320187	0.42966180035561596	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	insurance_public_w1	-0.022283950466555392	0.01733673486690973	0.19866641277946628	-0.056263326415218265	0.011695425482107485	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	oop_shock_p95_lag:insurance_public_w1	-0.2197316734256614	0.08706739112156288	0.011612812677204674	-0.3903806242517871	-0.049082722599535694	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	adl5_lag	-0.23677318634580075	0.008588225247080623	2.582809481597354e-167	-0.25360579852119636	-0.2199405741704051	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	core_disease_count_lag	0.04355117370477473	0.0038803802125267554	3.128961346738669e-29	0.035945768241900405	0.051156579167649055	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	baseline_age	0.005366344170649829	0.0007776251809174839	5.16598054862187e-12	0.0038422268225801167	0.006890461518719541	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	sex	0.023137870764047337	0.008627858081624052	0.007323531813158307	0.006227579660341355	0.04004816186775332	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	education_c	-0.014149236454928823	0.0022715608917485554	4.698391874839077e-10	-0.01860141399144568	-0.009697058918411966	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
insurance_interaction_logshock	delta_adl_per_year	residence_rural_w1	0.03448300173670318	0.008589680933322673	5.957995240668325e-05	0.01764753646870034	0.05131846700470601	11850	4199	0.2174518873797957	insurance_buffer_sensitivity_logshock
rural_interaction	delta_adl_per_year	Intercept	-0.3183880369565946	0.05416401261813152	4.146990073909262e-09	-0.4245475509463055	-0.2122285229668838	12286	4212	0.22229785291604176	heterogeneity_rural
