model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	r2	analysis	role
dose_shock_only	delta_adl_per_year	oop_shock_p95_lag	0.06566551035202971	0.022671866038407373	0.0037753897739907535	0.021229469454434463	0.11010155124962495	12286	4212	0.2222482219964228	dose_response	main
dose_continuous_plus_shock	delta_adl_per_year	log_oop_raw_lag	0.0005063528219510948	0.0014028050500538493	0.7181313151967945	-0.002243094553485358	0.0032558001973875474	11878	4210	0.21611777401243215	dose_response	supplement
dose_continuous_plus_shock	delta_adl_per_year	oop_shock_p95_lag	0.06033267319920026	0.02512301189770317	0.016328435180051955	0.011092474696530769	0.10957287170186975	11878	4210	0.21611777401243215	dose_response	supplement
