module	model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids
leg1	doc_any_logit_cluster	doctor_visit_any_wave	Intercept	-2.1641397778591087	0.3192553701261275	1.2125308886319761e-11	-2.7898688051773233	-1.5384107505408942	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	C(interval_lag)[T.2013-2015]	-0.18102558374184333	0.05594954736477531	0.001214236270328055	-0.2906846815281208	-0.07136648595556583	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	C(interval_lag)[T.2015-2018]	-0.5233826672573209	0.05920299727148113	9.531179434223834e-19	-0.639418409686247	-0.40734692482839474	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	oop_shock_p95_lag	-0.15131345594439224	0.11194623903211044	0.17648352774304066	-0.3707240526520408	0.06809714076325626	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	log_oop_raw_lag	0.03826041865149734	0.010394107503220387	0.0002323465247522508	0.017888342293747837	0.058632495009246846	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	doctor_visit_any_lag	0.5146811527702752	0.08262768117129154	4.69663811151498e-10	0.3527338735484854	0.6766284319920649	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	adl5_lag	0.06644902625044656	0.023313309728788957	0.004368331504732881	0.02075577882159295	0.11214227367930017	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	core_disease_count_lag	0.19614987477066453	0.019207601740588134	1.7504193201589423e-24	0.15850366712972294	0.23379608241160613	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	baseline_age	-0.0007909181452866907	0.00428116902796492	0.8534302262520356	-0.009181855251826285	0.007600018961252904	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	sex	0.17415754152561946	0.05146489914825057	0.0007143637117976734	0.07328819272706223	0.2750268903241767	11859	4210
leg1	doc_any_logit_cluster	doctor_visit_any_wave	education_c	0.03860238033084165	0.015121092251001809	0.010683535748681288	0.00896558411197041	0.0682391765497129	11859	4210
