dataset_id	model_id	profile_col	covar_set	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	log_likelihood	aic	bic
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	Intercept	-1.0906056064502496	0.15575203972709625	2.51989343115232e-12	-1.39587399483401	-0.7853372180664893	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	C(ft_profile)[T.mixed]	-0.055924937227001315	0.048122483528464474	0.24517966330539054	-0.15024327178941366	0.03839339733541104	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	C(ft_profile)[T.shock_spike]	0.05280931662164527	0.057684753467996494	0.359938983019237	-0.060250722632699844	0.1658693558759904	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	C(ft_profile)[T.stable_low]	-0.10652854315511014	0.040388972215552335	0.008350359842067237	-0.18568947407018163	-0.02736761224003864	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	t_years	0.07528080253783204	0.006148464038570457	1.8125267340396855e-34	0.06323003446199425	0.08733157061366982	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	t_years:C(ft_profile)[T.mixed]	-0.025490491799496282	0.008409783796959952	0.0024370329234391303	-0.04197336515930629	-0.009007618439686272	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	t_years:C(ft_profile)[T.shock_spike]	-0.02269255015295904	0.01009228844717208	0.02454407530212251	-0.04247307203100599	-0.0029120282749120936	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	t_years:C(ft_profile)[T.stable_low]	-0.04225770838474676	0.006929643391874426	1.0733174984652632e-09	-0.055839559858526615	-0.028675856910966906	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	baseline_age	0.019555222946386563	0.002039840899048959	9.099913893305438e-22	0.0155572082500588	0.023553237642714327	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	sex	0.08356782308586097	0.024625582891148443	0.0006899627397966006	0.035302567520904285	0.13183307865081767	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	education_c	-0.06231984485620178	0.006964577341701637	3.6160144620476422e-19	-0.0759701656134807	-0.04866952409892286	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	residence_rural_w1	0.12725977195241	0.024900007509156597	3.207419724479314e-07	0.07845665401968618	0.17606288988513383	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	core_disease_count_w1	0.14420711212917	0.010380435927428296	7.063012320037574e-44	0.12386183156758492	0.1645523926907551	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	mixedlm_re_int	ft_profile	baseline_disease	Group Var	0.5646618063541073	0.020500726304451888	5.2939969233688015e-167	0.5244811211404687	0.6048424915677459	16844	4211	-22905.658464306165	45841.31692861233	45957.29317545156
balanced_ft	gee_binomial	ft_profile	baseline_disease	Intercept	-5.7614138781270325	0.3718720127220905	3.867987905313296e-54	-6.490269629920751	-5.032558126333314	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	C(ft_profile)[T.mixed]	-0.1631222953601889	0.10976220748663672	0.13724139927038223	-0.37825226889760954	0.05200767817723176	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	C(ft_profile)[T.shock_spike]	0.10504067585832166	0.14255122832680234	0.4612058795074042	-0.1743545976141569	0.3844359493308002	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	C(ft_profile)[T.stable_low]	-0.42002257724230174	0.09494571706754686	9.697169715686304e-06	-0.6061127631810235	-0.23393239130357998	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	t_years	0.12459513506900191	0.013217751294272684	4.246123174370494e-21	0.09868881857561976	0.15050145156238406	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	t_years:C(ft_profile)[T.mixed]	-0.019938284103058205	0.019250374514358237	0.3003258508298371	-0.05766832484010809	0.017791756633991674	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	t_years:C(ft_profile)[T.shock_spike]	-0.0241686472961858	0.02396610432126818	0.31323789121003387	-0.07114134861560119	0.02280405402322959	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	t_years:C(ft_profile)[T.stable_low]	-0.02918697783406866	0.016000538471631732	0.06813321841929965	-0.06054745697171442	0.002173501303577092	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	baseline_age	0.0430456126424366	0.004627190462082521	1.3685461670356562e-20	0.03397648598714761	0.052114739297725594	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	sex	0.1985974809469897	0.060430483798323144	0.0010148431596087677	0.08015590913394509	0.3170390527600343	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	education_c	-0.16485329914180144	0.0175640459418888	6.241777809317004e-21	-0.1992781966107104	-0.1304284016728925	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	residence_rural_w1	0.33326628424012544	0.0633991785342815	1.4671580024200334e-07	0.20900617766350882	0.45752639081674207	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	gee_binomial	ft_profile	baseline_disease	core_disease_count_w1	0.3091596160655975	0.021805394136799564	1.2514476399294351e-45	0.2664218288887695	0.3518974032424255	16844	4211	-4317.336356194989	8660.672712389978	-158034.42072066138
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	Intercept	-0.598600518663961	0.12079220666095467	7.209925949904897e-07	-0.8353488933325514	-0.3618521439953707	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	C(ft_profile)[T.mixed]	-0.03472027797301631	0.0275790377136997	0.2080529968805025	-0.0887741986201396	0.019333642674106984	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	C(ft_profile)[T.shock_spike]	0.03186911723525654	0.034162977070079655	0.3508946388309597	-0.03508908742676728	0.09882732189728036	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	C(ft_profile)[T.stable_low]	-0.03448664697604874	0.02399764524810275	0.15069394991124052	-0.08152116737609891	0.012547873424001425	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	t_years	0.07528080253794162	0.008468130005397125	6.116564633661682e-19	0.05868357271096028	0.09187803236492295	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	t_years:C(ft_profile)[T.mixed]	-0.025490491799610746	0.010950874579895357	0.019927354794770077	-0.04695381157542084	-0.004027172023800651	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	t_years:C(ft_profile)[T.shock_spike]	-0.02269255015306785	0.01361810585794827	0.09564343895816689	-0.049383547172300396	0.003998446866164695	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	t_years:C(ft_profile)[T.stable_low]	-0.04225770838485539	0.00907581789969218	3.2229119695217416e-06	-0.06004598459849601	-0.02446943217121476	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	baseline_age	0.009744893226302426	0.0016765464222297354	6.155389106555728e-09	0.006458922620322662	0.01303086383228219	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	sex	0.04468625319104198	0.018732049751235394	0.017053574532791233	0.007972110322008133	0.08140039606007583	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	education_c	-0.030387445377745872	0.004813586130173588	2.739436646682299e-10	-0.03982190082936764	-0.020952989926124106	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	residence_rural_w1	0.06748358721481489	0.018474942126017108	0.0002594882503604661	0.031273366031359495	0.10369380839827028	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	core_disease_count_w1	0.08244825075699719	0.009363041085484998	1.3002358932452103e-18	0.06409702744367778	0.1007994740703166	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	cluster_ols_fallback	ft_profile	baseline_disease_adl	adl5_w1	0.5195670859961419	0.016481478427693277	4.035867995110618e-218	0.4872639818658892	0.5518701901263945	16844	4211	-22141.924590277034	44311.84918055407	44420.09367760401
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	Intercept	-5.034183920348126	0.31136657670105583	8.476679667872962e-59	-5.644451196671724	-4.423916644024528	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
balanced_ft	gee_binomial	ft_profile	baseline_disease_adl	C(ft_profile)[T.mixed]	-0.16064260453516402	0.07869992575171632	0.04123055266902995	-0.31489162459450437	-0.006393584475823694	16844	4211	-3812.106209932383	7652.212419864766	-159035.14926339732
