model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids
base	delta_adl_per_year	Intercept	-0.31721450152712327	0.05415288650178671	4.691577594598792e-09	-0.42335220872951046	-0.21107679432473608	12286	4212
base	delta_adl_per_year	C(interval)[T.2013-2015]	0.06388831204316005	0.010374639293177904	7.361185317576772e-10	0.043554392675937276	0.08422223141038282	12286	4212
base	delta_adl_per_year	C(interval)[T.2015-2018]	0.055103091213178496	0.008539621071543258	1.0991904856042129e-10	0.03836574147133437	0.07184044095502262	12286	4212
base	delta_adl_per_year	oop_shock_p95_lag	0.06566551035202971	0.022671866038407373	0.0037753897739907535	0.021229469454434463	0.11010155124962495	12286	4212
base	delta_adl_per_year	adl5_lag	-0.2385784864910231	0.008290306985830567	4.0435665595742516e-182	-0.25482718960403183	-0.22232978337801437	12286	4212
base	delta_adl_per_year	core_disease_count_lag	0.04335940665418586	0.0037485652503689276	6.0610079990228285e-31	0.036012353769764395	0.05070645953860733	12286	4212
base	delta_adl_per_year	baseline_age	0.005118233509424813	0.0007558132610785633	1.2716980087878609e-11	0.00363686673867306	0.006599600280176566	12286	4212
base	delta_adl_per_year	sex	0.023085801932273112	0.00854212233020599	0.006880282623286095	0.006343549813534008	0.03982805405101222	12286	4212
base	delta_adl_per_year	education_c	-0.014665690268383373	0.002219052969052338	3.869609994285062e-11	-0.01901495416751263	-0.010316426369254115	12286	4212
base	delta_adl_per_year	residence_rural_w1	0.034661511464980435	0.008489135105583624	4.444961853868846e-05	0.018023112398141902	0.05129991053181897	12286	4212
plus_hosp_lag	delta_adl_per_year	Intercept	-0.3193750952033212	0.05428699654268782	4.026853890183317e-09	-0.42577565325583977	-0.2129745371508026	12265	4212
plus_hosp_lag	delta_adl_per_year	C(interval)[T.2013-2015]	0.0628219894469348	0.010379639933990036	1.426816712417919e-09	0.04247826900382063	0.08316570989004898	12265	4212
plus_hosp_lag	delta_adl_per_year	C(interval)[T.2015-2018]	0.054210534670922586	0.008558061746443458	2.382037551126991e-10	0.03743704187042345	0.07098402747142171	12265	4212
plus_hosp_lag	delta_adl_per_year	oop_shock_p95_lag	0.054879325084657204	0.023497746747473913	0.019516566337663497	0.008824587741765137	0.10093406242754926	12265	4212
plus_hosp_lag	delta_adl_per_year	hospital_stay_any_lag	0.023170411180384008	0.0134775810585605	0.08558128565289151	-0.0032451622931137895	0.04958598465388181	12265	4212
plus_hosp_lag	delta_adl_per_year	adl5_lag	-0.239087558461933	0.008326284802885999	2.493712193083446e-181	-0.25540677680061274	-0.22276834012325325	12265	4212
plus_hosp_lag	delta_adl_per_year	core_disease_count_lag	0.04226251479773905	0.003769006833797089	3.513786946640104e-29	0.034875397146011414	0.049649632449466685	12265	4212
plus_hosp_lag	delta_adl_per_year	baseline_age	0.005146342229925271	0.0007584108060406285	1.155312946200379e-11	0.003659884364599646	0.006632800095250895	12265	4212
plus_hosp_lag	delta_adl_per_year	sex	0.02317888503057893	0.008543084308900425	0.006664184941598974	0.00643474746824484	0.03992302259291303	12265	4212
plus_hosp_lag	delta_adl_per_year	education_c	-0.014752317520429704	0.0022214481067044456	3.1186610474135687e-11	-0.01910627580309511	-0.010398359237764299	12265	4212
plus_hosp_lag	delta_adl_per_year	residence_rural_w1	0.03429378566856636	0.008501688984059303	5.489103305681858e-05	0.017630781452049205	0.05095678988508352	12265	4212
plus_incident_disease	delta_adl_per_year	Intercept	-0.3173249788515997	0.05483157710079186	7.154080157748153e-09	-0.4247928951846829	-0.20985706251851652	11937	4212
plus_incident_disease	delta_adl_per_year	C(interval)[T.2013-2015]	0.0476617018873321	0.010611805400390084	7.076155898850536e-06	0.026862945491619883	0.06846045828304431	11937	4212
plus_incident_disease	delta_adl_per_year	C(interval)[T.2015-2018]	0.0368445019499694	0.008747401028059433	2.53062041563913e-05	0.019699910976644263	0.05398909292329453	11937	4212
plus_incident_disease	delta_adl_per_year	oop_shock_p95_lag	0.060834585732832194	0.022858044831050514	0.007781457893875745	0.01603364110697124	0.10563553035869315	11937	4212
plus_incident_disease	delta_adl_per_year	incident_disease_count	0.05338368321525371	0.007207406857520659	1.2940201716194933e-13	0.03925742535258621	0.06750994107792122	11937	4212
plus_incident_disease	delta_adl_per_year	adl5_lag	-0.23905611287202227	0.008468213155479614	2.5185139977750412e-175	-0.2556535056701706	-0.22245872007387396	11937	4212
plus_incident_disease	delta_adl_per_year	core_disease_count_lag	0.04503359202043419	0.0038049596541061955	2.5582086571152443e-32	0.037576008135758066	0.05249117590511032	11937	4212
plus_incident_disease	delta_adl_per_year	baseline_age	0.005109103375981208	0.0007669589517105048	2.710316016443688e-11	0.0036058914530080243	0.006612315298954392	11937	4212
plus_incident_disease	delta_adl_per_year	sex	0.019338801706551775	0.00864512678630073	0.025288962862673185	0.002394664563619843	0.036282938849483706	11937	4212
plus_incident_disease	delta_adl_per_year	education_c	-0.01492337111156786	0.0022404658077024176	2.722778048388087e-11	-0.01931460340325804	-0.01053213881987768	11937	4212
plus_incident_disease	delta_adl_per_year	residence_rural_w1	0.03169011275687733	0.00857345857504735	0.0002187606487755449	0.014886442726838433	0.048493782786916226	11937	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	Intercept	-0.31978822107745175	0.054965982181072306	5.9580942483011155e-09	-0.42751956652722384	-0.21205687562767966	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	C(interval)[T.2013-2015]	0.04714147139559797	0.010612397765820597	8.907970305950345e-06	0.026341553984976264	0.06794138880621967	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	C(interval)[T.2015-2018]	0.03640879035318089	0.008759128326770768	3.2292242010107506e-05	0.0192412142967456	0.05357636640961618	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	oop_shock_p95_lag	0.05406687589813882	0.02375312467582641	0.022834007896620104	0.007511607013229414	0.10062214478304823	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	hospital_stay_any_lag	0.014860962126785286	0.01355658156057981	0.27298359718954956	-0.011709449485430942	0.04143137373900151	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	incident_disease_count	0.053074546167138026	0.007222937775790014	2.0111130733784253e-13	0.03891784826401575	0.0672312440702603	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	adl5_lag	-0.23932613906375427	0.008504546380544332	3.091276040268837e-174	-0.2559947436744716	-0.2226575344530369	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	core_disease_count_lag	0.04428352253071515	0.0038304287661138736	6.496072479483258e-31	0.036776020103785764	0.05179102495764454	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	baseline_age	0.005149054184120003	0.0007694494183959967	2.2033910510282446e-11	0.003640961036138558	0.006657147332101448	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	sex	0.01932034457765472	0.008646835391539123	0.02545786371658219	0.0023728586299917413	0.03626783052531769	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	education_c	-0.015004573680281803	0.0022432013245538875	2.2483764045112577e-11	-0.019401167486479968	-0.010607979874083639	11917	4212
plus_hosp_lag_plus_incident_disease	delta_adl_per_year	residence_rural_w1	0.031217949939662756	0.00858846259331547	0.0002781202258999666	0.014384872574194962	0.04805102730513055	11917	4212
