model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	r2	shock_quantile	weighted_ipw
main_change_cluster_ols_q0.9	delta_adl_per_year	Intercept	-0.3560632331480864	0.05371585037239879	3.387852191540718e-11	-0.46134436527693046	-0.25078210101924236	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	C(interval)[T.2013-2015]	0.07212992135987574	0.009973530827767937	4.754592005519619e-13	0.05258216013875063	0.09167768258100084	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	C(interval)[T.2015-2018]	0.04986566007667706	0.008266755615660638	1.6187122926275255e-09	0.03366311680098797	0.06606820335236616	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	log_oop_raw_lag	-0.00016330320916443876	0.0014733882193512112	0.9117470687723933	-0.003051091054338414	0.0027244846360095364	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	oop_shock_q0_9_lag	0.04719072568464066	0.0194093998760873	0.015043357357550987	0.009149000965973361	0.08523245040330796	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	adl5_lag	-0.2394624439663968	0.008042908791339783	8.70936585485918e-195	-0.25522625552836337	-0.22369863240443025	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	core_disease_count_lag	0.044855808577570294	0.0037187570032269227	1.6757285368671325e-33	0.03756717878398942	0.05214443837115117	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	baseline_age	0.005881801883926834	0.0007503729878674664	4.559446543982273e-15	0.004411097852734889	0.00735250591511878	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	sex	0.021179510117502326	0.008343786534584528	0.01113742639074837	0.004825989015026386	0.037533031219978266	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	education_c	-0.01650062492967192	0.002183712327862828	4.1493108649764404e-14	-0.020780622444879188	-0.012220627414464655	13285	5077	0.21478806806498796	0.9	0
main_change_cluster_ols_q0.9	delta_adl_per_year	residence_rural_w1	0.029439541201018375	0.008367909956719415	0.00043457079900149226	0.0130387390599742	0.04584034334206255	13285	5077	0.21478806806498796	0.9	0
main_change_ipw_wls_q0.9	delta_adl_per_year	Intercept	-0.3586944204814893	0.05423619241087705	3.7518078693460254e-11	-0.46499540426539293	-0.2523934366975857	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	C(interval)[T.2013-2015]	0.07298899231657399	0.01006043936413171	4.0151298410022137e-13	0.0532708934942268	0.09270709113892119	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	C(interval)[T.2015-2018]	0.05111669515463788	0.008353452643613748	9.402880676150414e-10	0.03474422882659403	0.06748916148268173	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	log_oop_raw_lag	-0.00021502957546599462	0.001486764850765938	0.885003660204849	-0.003129035136447301	0.002698975985515312	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	oop_shock_q0_9_lag	0.047572814449846366	0.019561868550865346	0.015019204177467545	0.009232256619843553	0.08591337227984919	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	adl5_lag	-0.23879731697828158	0.008060857131335452	7.268706807460532e-193	-0.2545963066402219	-0.22299832731634123	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	core_disease_count_lag	0.04494253446531066	0.0037609037468284714	6.498037051845047e-33	0.037571298572205106	0.05231377035841621	13285	5077	0.2159520652788357	0.9	1
main_change_ipw_wls_q0.9	delta_adl_per_year	baseline_age	0.005912099784782484	0.0007574026984370429	5.9146454161628536e-15	0.004427617774052429	0.00739658179551254	13285	5077	0.2159520652788357	0.9	1
