base_scope	mediator	shock_est_no_mediator	shock_est_with_mediator	delta	p_no_mediator	p_with_mediator	n_obs	n_ids
matched	doc_any	0.008613413523281169	0.0005540107316703951	-0.008059402791610774	0.8979667927628943	0.9935152764563143	8059	4190
matched	doc_count	-0.027255993751944284	-0.026385063296669606	0.000870930455274678	0.6819247388528094	0.6928834097888646	7976	4159
matched	hosp_any	0.000909145504463818	0.0014475324701360356	0.0005383869656722176	0.9891774294656034	0.9827489367850484	8061	4194
matched	any_contact	0.008540376224266542	-0.016867528799620328	-0.02540790502388687	0.898787082397092	0.8168725198530438	8071	4199
matched	out_forg_cost	-0.02479869494260354	-0.09062596565256809	-0.06582727070996455	0.9426689120197336	0.7863997344402687	462	431
matched	in_need_no	-0.01273925733678534	-0.018253978880550317	-0.005514721543764978	0.8866967144609301	0.8380661114924226	4104	2208
matched	in_forg_cost	-0.012826745723788887	-0.010991651776772944	0.0018350939470159425	0.8859477237635252	0.9018493515448744	4103	2207
