base_scope	mediator	shock_est_no_mediator	shock_est_with_mediator	delta	p_no_mediator	p_with_mediator	n_obs	n_ids
matched	out_forg_cost	-0.7161393310925974	-0.7027461411085532	0.013393189984044263	0.027974996227540114	0.025944491529417996	340	315
matched	in_need_no	0.09904864322938725	0.09070810318145499	-0.008340540047932263	0.2812545502179352	0.32461089724581305	2892	1550
matched	in_forg_cost	0.09904864322938725	0.09750053585137408	-0.0015481073780131693	0.2812545502179352	0.28496738750419504	2892	1550
