module	metric	value	note
primary_change_model	n_obs	12286.0	person-interval observations
primary_change_model	n_ids	4212.0	participants
primary_change_model	r2	0.2222482219964228	
primary_change_model	fvalue_plain	389.7729113281775	conventional OLS F-statistic (non-robust)
primary_change_model	f_pvalue_plain	0.0	conventional OLS F-test p-value (non-robust)
primary_change_model	max_vif	1.2872107013692862	education_c=1.29; sex=1.19; residence_rural_w1=1.09
poisson_gee_doctor_visit_count	dispersion_pearson_chi2_over_df	4.097658131856243	Pearson χ²/df (>1 suggests overdispersion)
