wave_lag	interval	quantile	threshold_total_annual_oop_raw	n_nonmissing	threshold_ft_burden_ratio_raw	n_nonmissing_ft_burden_ratio_raw
1	2011-2013	0.9	3000.0	4953	0.08486520089823774	3445
2	2013-2015	0.9	4786.324786324787	5144	0.14312026835524072	3297
3	2015-2018	0.9	5524.861878453039	5180	0.1696833536282572	3315
1	2011-2013	0.95	6600.0	4953	0.33563457818776965	3445
2	2013-2015	0.95	11396.011396011396	5144	0.6264474100731395	3297
3	2015-2018	0.95	13699.379655757242	5180	0.6333548360480054	3315
1	2011-2013	0.975	12679.999999999927	4953	0.9232042873140318	3445
2	2013-2015	0.975	22792.02279202279	5144	1.7208250641076603	3297
3	2015-2018	0.975	27624.30939226519	5180	1.8855886981082464	3315
