wave	year	variable	n_rows	n_missing	pct_missing	n_zero	pct_zero
1	2011	outpatient_total_wave	4212	61	0.014482431149097816	3319	0.7879867046533713
1	2011	outpatient_oop_wave	4212	85	0.020180436847103515	3322	0.7886989553656221
1	2011	hospital_total_wave	4212	38	0.009021842355175688	3756	0.8917378917378918
1	2011	hospital_oop_wave	4212	37	0.008784425451092117	3775	0.8962488129154795
1	2011	total_annual_oop	4212	114	0.027065527065527065	3035	0.7205603038936372
1	2011	total_annual_oop_raw	4212	114	0.027065527065527065	3035	0.7205603038936372
1	2011	ft_burden_ratio	4212	1335	0.31695156695156695	2147	0.5097340930674265
2	2013	outpatient_total_wave	4212	85	0.020180436847103515	3208	0.761633428300095
2	2013	outpatient_oop_wave	4212	111	0.026353276353276354	3222	0.7649572649572649
2	2013	hospital_total_wave	4212	80	0.01899335232668566	3549	0.8425925925925926
2	2013	hospital_oop_wave	4212	52	0.012345679012345678	3592	0.8528015194681862
2	2013	total_annual_oop	4212	146	0.03466286799620133	2859	0.6787749287749287
2	2013	total_annual_oop_raw	4212	146	0.03466286799620133	2859	0.6787749287749287
2	2013	ft_burden_ratio	4212	1364	0.3238366571699905	2012	0.47768281101614435
3	2015	outpatient_total_wave	4212	79	0.01875593542260209	3303	0.7841880341880342
3	2015	outpatient_oop_wave	4212	96	0.022792022792022793	3314	0.7867996201329535
3	2015	hospital_total_wave	4212	83	0.019705603038936374	3451	0.8193257359924027
3	2015	hospital_oop_wave	4212	94	0.02231718898385565	3501	0.8311965811965812
3	2015	total_annual_oop	4212	172	0.04083570750237417	2828	0.671415004748338
3	2015	total_annual_oop_raw	4212	172	0.04083570750237417	2828	0.671415004748338
3	2015	ft_burden_ratio	4212	1380	0.32763532763532766	2010	0.4772079772079772
4	2018	outpatient_total_wave	4212	44	0.010446343779677113	3520	0.835707502374169
4	2018	outpatient_oop_wave	4212	54	0.01282051282051282	3520	0.835707502374169
4	2018	hospital_total_wave	4212	82	0.0194681861348528	3224	0.7654320987654321
4	2018	hospital_oop_wave	4212	101	0.023979107312440646	3225	0.7656695156695157
4	2018	total_annual_oop	4212	147	0.0349002849002849	2783	0.6607312440645774
4	2018	total_annual_oop_raw	4212	147	0.0349002849002849	2783	0.6607312440645774
4	2018	ft_burden_ratio	4212	1361	0.32312440645773977	1951	0.46320037986704654
