wave	year	n_rows	usable_primary_n	usable_primary_pct	tcm_visit_any_n	tcm_visit_any_pct_nonmissing	primary_burden_n	primary_burden_mean	core_disease_count_mean	adl5_mean	shlta_mean
1	2011	5512	5035	0.913462	51	0.009253	5054	0.256862	1.181282	0.379153	3.100669
2	2013	5512	5180	0.939768	82	0.014877	5191	0.258057	1.315749	0.384298	3.040129
3	2015	5512	5075	0.920718	82	0.014877	5078	0.284052	1.689689	0.539659	3.037329
4	2018	5512	4689	0.850689	60	0.010885	4689	0.312747	2.003425	0.632587	3.147761
