variable	type	balanced_n	balanced_mean	balanced_sd	excluded_n	excluded_mean	excluded_sd	smd
baseline_age	continuous	4212	66.52207977207978	5.593338019656638	1300	67.9523076923077	6.027205647015137	-0.24598368821124508
wealth_hh1atotb	continuous	3093	170412.87911901466	1334616.7450715369	612	286579.2243476818	1815046.2414306835	-0.07292087237186527
adl_w1	continuous	4212	0.3755935422602089	0.9416370663866434	844	0.39691943127962087	0.9838747271238274	-0.022145551275351335
education_raeduc_c_missing	missingness	4212	0.0		1300	0.0		
education_high_proxy_raeduc_c_ge_4	binary_proxy	4212	0.4420702754036087		1300	0.4653846153846154		-0.04684249229097753
female_ragender_eq_2	binary	4212	0.5102089268755935		1300	0.4584615384615385		0.10368465899046081
rural_h1rural_eq_1	binary	4212	0.6566951566951567		1300	0.3515384615384615		0.6409060411702141
insured_r1higov_eq_1	binary	4212	0.9318613485280152		1300	0.61		0.8291159003538046
