evidence_id	strength	line	estimate	ci_low	ci_high	p_value	n_obs	n_ids
E1	core	shock(t-1) → ADL worsening(t)	0.0656655103520297	0.0212294694544344	0.1101015512496249	0.0037753897739907	12286	4212
E2	core	shock(t-1) → utilization intensity(t)	-0.3397409649028756	-0.5880596021374539	-0.0914223276682972	0.0073280891923405	11706	4201
E3	core	shock×low-wealth → utilization intensity(t)	-0.5029501940367388	-0.9796634021802044	-0.0262369858932732	0.0386555393975266	8213	2939
E4	core	shock×insurance → attenuated ADL worsening	-0.2209967042990171	-0.3915314990140299	-0.0504619095840044	0.0110876256136108	12253	4201
E5	limited	cost-related outpatient forgoing(t) → worse ADL(t+1)	0.5007014578383822	0.1491460110340659	0.8522569046426984	0.0052469063933539	462	431
E6	supportive	CESD(t) → ADL worsening(t→t+1)	0.0064153988363477	0.0045880335516775	0.0082427641210179	5.9468080505397655e-12	7819	4168
