model_id	outcome	term	estimate	std_error	p_value	ci_low	ci_high	n_obs	n_ids	r2	analysis	role
dose_continuous_plus_shock	delta_adl_per_year	log_oop_raw_lag	0.000506352821951	0.0014028050500538	0.7181313151967945	-0.0022430945534853	0.0032558001973875	11878	4210	0.2161177740124321	dose_response	supplement
dose_continuous_plus_shock	delta_adl_per_year	oop_shock_p95_lag	0.0603326731992002	0.0251230118977031	0.0163284351800519	0.0110924746965307	0.1095728717018697	11878	4210	0.2161177740124321	dose_response	supplement
dose_shock_only	delta_adl_per_year	oop_shock_p95_lag	0.0656655103520297	0.0226718660384073	0.0037753897739907	0.0212294694544344	0.1101015512496249	12286	4212	0.2222482219964228	dose_response	main
